country,total_weekly_hours_worked(estimates_in_thousands),percentage_of_working_hrs_lost,percent_hours_lost_40hrs_per_week,percent_hours_lost_48hrs_per_week,labour_dependency_ratio,employed_female_25+_2019,employed_male_25+_2019,ratio_of_weekly_hours_worked_by_population_age_15-64
Afghanistan,350285.606,6.5,607.476,506.23,3.57,1334.243,5424.911,16.2
Angola,457913.433,8.6,1075.838,896.532,1.7,4612.109,4724.669,27.1
Albania,49922.483,3.9,51.087,42.572,1.77,500.112,651.87,25.5
United Arab Emirates,320690.368,9.3,824.579,687.149,0.41,996.03,5111.77,38.6
Argentina,525994.01,21,3492.559,2910.466,1.43,7264.33,9496.191,18.1
Armenia,31639.032,16.8,159.418,132.848,1.72,407.158,519.975,15.8
Australia,403947.393,4.7,503.053,419.211,0.99,5017.147,5849.21,24.6
Austria,142519.045,10.5,417.616,348.013,1.05,1843.945,2109.049,23.8
Azerbaijan,153216.26,14.1,630.631,525.526,1.13,2106.548,2237.431,21.7
Burundi,203899.701,-0.1,-4.467,-3.723,1.36,1931.623,1838.077,32.7
Belgium,164758.728,7.3,322.644,268.87,1.43,2104.738,2433.703,22.3
Benin,193658.604,3.2,161.663,134.719,1.53,1816.052,1961.556,29.2
Burkina Faso,323122.078,2.6,217.414,181.178,1.77,2373.467,2825.971,29
Bangladesh,2812817.837,12.2,9732.437,8110.365,1.67,16704.776,39120.428,25.1
Bulgaria,119513.123,6,189.273,157.727,1.41,1446.55,1662.408,26.9
Bahrain,41146.771,9,101.505,84.588,0.76,169.787,724.901,30.6
Bahamas,7071.777,14.8,30.725,25.604,1.12,88.761,89.903,25.5
Bosnia and Herzegovina,40903.955,9.7,110.369,91.974,2.55,405.275,630.467,18.5
Belarus,165398.24,1.3,54.217,45.181,0.99,2201.323,2228.734,26.1
Belize,6547.332,11.1,20.473,17.061,1.68,52.105,82.163,25
Bolivia,181961.22,20.5,1172.289,976.908,1.18,2022.956,2520.366,25
Brazil,3037976.789,14.9,13321.031,11100.859,1.23,34791.765,46018.66,20.5
